Exercise,Options,Answer
______ spots are black.,"Panthers, Pantherss",Panthers
Panthers ______ are black.,"spots, spot",spots
The ______ grasped the lamb into its claws.,"eagle, eagles",eagle
The eagle grasped the ______ into its claws.,"lamb, lambs",lamb
The eagle grasped the lamb into its ______.,"claws, claw",claws
The ______ uses its tail to keep its balance.,"cat, cats",cat
The cat uses its ______ to keep its balance.,"tail, tails",tail
The cat uses its tail to keep its ______.,"balance, balances",balance
The ______ cub suckled the teat of its mother.,"monkey, monkeys",monkey
The monkey ______ suckled the teat of its mother.,"cub, cubs",cub
The monkey cub suckled the ______ of its mother.,"teat, teats",teat
The ______ gave him a kick with his hoof.,"horse, horses",horse
The horse gave him a ______ with his hoof.,"kick, kicks",kick
The horse gave him a kick with his ______.,"hoof, hoofs",hoof
The ______ is a wild animal.,"tiger, tigers",tiger
The tiger is a wild ______.,"animal, animals",animal
It is a domestic ______ but it is still dangerous.,"boar, boars",boar
Do you have ______ at home?,"pets, pet",pets
Do you have pets at ______?,"home, homes",home
The ______ nest was busy.,"ants, ant",ants
The ants ______ was busy.,"nest, nests",nest
The ______ seemed empty.,"termitary, termitaries",termitary
The ______ tried to intimidate the poacher.,"gorilla, gorillas",gorilla
The gorilla tried to intimidate the ______.,"poacher, poachers",poacher
The ______ bit his hand.,"macaque, macaques",macaque
The macaque bit his ______.,"hand, hands",hand
Urang ______ are threatened by palm oil culture.,"utangs, utang",utangs
Urang utangs are threatened by ______ oil culture.,"palm, palms",palm
Urang utangs are threatened by palm ______ culture.,"oil, oils",oil
There is a ______ on its land.,"spring, springs",spring
There is a spring on its ______.,"land, lands",land
______ live in Amazonia.,"Sloths, Slothss",Sloths
My ______ had his leg eaten by an alligator.,"father, fathers",father
My father had his ______ eaten by an alligator.,"leg, legs",leg
My father had his leg eaten by an ______.,"alligator, alligators",alligator
______ venom is deadly.,"Cobra, Cobras",Cobra
Cobra ______ is deadly.,"venom, venoms",venom
A ______ was warming up in the sun.,"viper, vipers",viper
A viper was warming up in the ______.,"sun, suns",sun
This ______-snake is sloughing its skin.,"grass, grasses",grass
This grass-______ is sloughing its skin.,"snake, snakes",snake
This grass-snake is sloughing its ______.,"skin, skins",skin
A ______ was coiled up around the branch.,"rattlesnake, rattlesnakes",rattlesnake
A rattlesnake was coiled up around the ______.,"branch, branches",branch
______ regulate their body temperature by sunbathing.,"Lizards, Lizardss",Lizards
Lizards regulate their ______ temperature by sunbathing.,"body, bodies",body
Lizards regulate their body ______ by sunbathing.,"temperature, temperatures",temperature
Toucans ______ are very coloured.,"beaks, beak",beaks
The ______ swooped down on its prey.,"hawk, hawks",hawk
The hawk swooped down on its ______.,"prey, preys",prey
______ can live up to eighty years.,"Parrots, Parrotss",Parrots
Parrots can live up to eighty ______.,"years, year",years
______ often live in pairs.,"Parakeets, Parakeetss",Parakeets
Parakeets often live in ______.,"pairs, pair",pairs
A ______ flied high in the sky.,"condor, condors",condor
A condor flied high in the ______.,"sky, skies",sky
The ______ burried its head into the sand.,"ostrich, ostriches",ostrich
The ostrich burried its ______ into the sand.,"head, heads",head
The ostrich burried its head into the ______.,"sand, sands",sand
"______ can fly, unlike ...","Penguins, Penguinss",Penguins
______ can swim over large distances to reach fishing zones.,"Penguins, Penguinss",Penguins
Penguins can swim over large ______ to reach fishing zones.,"distances, distance",distances
Penguins can swim over large distances to reach ______ zones.,"fishing, fishings",fishing
White ______ were found drowned.,"bears, bear",bears
The ______ seemed to be following a track.,"coyote, coyotes",coyote
The coyote seemed to be following a ______.,"track, tracks",track
"______ deal with vagina problems, among others.","Gynecologists, Gynecologistss",Gynecologists
"Gynecologists deal with ______ problems, among others.","vagina, vaginas",vagina
"Gynecologists deal with vagina ______, among others.","problems, problem",problems
"Among ______, the human being is the one with the biggest penis.","primates, primate",primates
"Among primates, the human ______ is the one with the biggest penis.","being, beings",being
"Among primates, the human being is the one with the biggest ______.","penis, penises",penis
His ______ was wet at the level of his armpits.,"shirt, shirts",shirt
His shirt was wet at the ______ of his armpits.,"level, levels",level
His shirt was wet at the level of his ______.,"armpits, armpit",armpits
She twisted her ______ when she fell in the stairs.,"ankle, ankles",ankle
She twisted her ankle when she fell in the ______.,"stairs, stair",stairs
He has a permanent ______ between the scapulas.,"pain, pains",pain
He has a permanent pain between the ______.,"scapulas, scapula",scapulas
______ rolled on his cheeks.,"Tears, Tearss",Tears
Tears rolled on his ______.,"cheeks, cheek",cheeks
His ______ is white.,"tongue, tongues",tongue
The ______ took a sample of his saliva.,"doctor, doctors",doctor
The doctor took a ______ of his saliva.,"sample, samples",sample
The doctor took a sample of his ______.,"saliva, salivas",saliva
His ______ nodes were swollen because of the infection.,"lymph, lymphs",lymph
His lymph ______ were swollen because of the infection.,"nodes, node",nodes
His lymph nodes were swollen because of the ______.,"infection, infections",infection
He had only one ______ left after his motorcycle accident.,"testicle, testicles",testicle
He had only one testicle left after his ______ accident.,"motorcycle, motorcycles",motorcycle
He had only one testicle left after his motorcycle ______.,"accident, accidents",accident
______ cancers are detected more and more precociously.,"Breast, Breasts",Breast
Breast ______ are detected more and more precociously.,"cancers, cancer",cancers
Some ______ have three nipples.,"people, peoples",people
Some people have three ______.,"nipples, nipple",nipples
He is trimming his ______.,"nails, nail",nails
Spinal ______ are the ______ emerging from the spinal cord.,"nerves, nerve",nerves
Spinal ______ are the ______ emerging from the spinal cord.,"nerves, nerve",nerves
Spinal nerves are the nerves emerging from the spinal ______.,"cord, cords",cord
______ are little renewed during adulthood.,"Neurons, Neuronss",Neurons
Neurons are little renewed during ______.,"adulthood, adulthoods",adulthood
He has a ______ under the navel.,"scar, scars",scar
He has a scar under the ______.,"navel, navels",navel
She has a ______ on her forearm.,"bruise, bruises",bruise
She has a bruise on her ______.,"forearm, forearms",forearm
"Her immune ______ is depressed, she has little white blood cells.","system, systems",system
"Her immune system is depressed, she has little white ______ cells.","blood, bloods",blood
"Her immune system is depressed, she has little white blood ______.","cells, cell",cells
Red ______ cells carry oxygen throughout the body.,"blood, bloods",blood
Red blood ______ carry oxygen throughout the body.,"cells, cell",cells
Red blood cells carry ______ throughout the body.,"oxygen, oxygens",oxygen
The ______ develops antibodies againts parasites.,"body, bodies",body
The body develops antibodies ______ parasites.,"againts, againt",againts
The body develops antibodies againts ______.,"parasites, parasite",parasites
He has got a ______ with one of his heart valves.,"problem, problems",problem
He has got a problem with one of his ______ valves.,"heart, hearts",heart
He has got a problem with one of his heart ______.,"valves, valve",valves
Your ______ are heavy.,"eyelids, eyelid",eyelids
She had prominent ______ just like her sister.,"cheekbones, cheekbone",cheekbones
She had prominent cheekbones just like her ______.,"sister, sisters",sister
Her ______ did not show any emotion.,"face, faces",face
Her face did not show any ______.,"emotion, emotions",emotion
She clutched her ______ to hide her pain.,"fist, fists",fist
She clutched her fist to hide her ______.,"pain, pains",pain
He broke his ______ by falling in the stairs.,"heel, heels",heel
He broke his heel by falling in the ______.,"stairs, stair",stairs
He has tensed up ______.,"jaws, jaw",jaws
He fractured his ______ when he fell on his knee,"kneecap, kneecaps",kneecap
He fractured his ______cap when he fell on his ______,"knee, knees",knee
He is feeling a ______ in his neck.,"stiffness, stiffnesses",stiffness
He is feeling a stiffness in his ______.,"neck, necks",neck
Abdominal ______ are visible on the echography.,"organs, organ",organs
Abdominal organs are visible on the ______.,"echography, echographies",echography
The ______ produces juices essential for digestion.,"pancreas, pancrea",pancreas
The pancreas produces ______ essential for digestion.,"juices, juice",juices
The pancreas produces juices essential for ______.,"digestion, digestions",digestion
We can see almost all his ______ on the radios.,"squeleton, squeletons",squeleton
We can see almost all his squeleton on the ______.,"radios, radio",radios
The spinal ______ goes through the spine.,"cord, cords",cord
The spinal cord goes through the ______.,"spine, spines",spine
She broke one of her ______.,"teeth, teeths",teeth
